"track.id","track.name","track.artist","track.popularity","track.album.id","track.album.name","track.album.release_date","playlist_name","playlist_id","playlist_genero","playlist_subgenero","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"5LFtkeNjLpZAey3Arj3h4M","Bridge over Troubled Water","Simon & Garfunkel",0,"25irJgxRNTlyg8pUmWfDVG","Greatest Hits","1972-06-14","Classic Rock Greatest Hits","6TeyryiZ2UEf3CbLXyztFA","rock","classic rock",0.276,0.236,3,-13.742,1,0.0299,0.795,0.0000967,0.366,0.261,83.611,293120
"5LghBGmNUUwI2BvX2boIdK","Bruuuh (with Denzel Curry) - Remix","JID",63,"2VBF1VUAfb250CHkaReyAz","Bruuuh (with Denzel Curry) [Remix]","2021-02-05","Hip Hop Controller","37i9dQZF1DWT5MrZnPU1zD","rap","hip hop",0.813,0.621,9,-9.273,1,0.209,0.0144,0.0000403,0.0793,0.377,112.101,206446
"5LI7PoHEolR8plrf3I16sq","Fire","Jimi Hendrix",59,"7rSZXXHHvIhF4yUFdaOCy9","Are You Experienced","1967-05-12","Classic Rock Drive","37i9dQZF1DXdOEFt9ZX0dh","rock","classic rock",0.479,0.944,9,-5.167,1,0.115,0.00206,0.0283,0.356,0.572,153.45,163800
"5LImLY9KV8cnbnJ2DufLAu","Change Up","Tinyvix",44,"2U5JgHjPIc2K0NFpFS2ztu","Change Up","2022-04-06","hip-hop","3ms3BKO0KdWg95rqQn9wMt","rap","hip hop",0.692,0.794,6,-3.4,1,0.0403,0.223,0,0.0911,0.39,140.024,252029
"5ljCWsDlSyJ41kwqym2ORw","03' Bonnie & Clyde","JAY-Z",73,"5xHStEOG8PsbzNQb7LkxZU","The Blueprint 2 The Gift & The Curse","2002-11-12","2000s Hip-Hop Retrogamer","5dBbja1fYohcz7JUXJiyhM","rap","hip hop",0.759,0.678,9,-5.148,0,0.314,0.23,0,0.15,0.327,89.64,205560
"5ljKtPemI8aaXgCjP2I4mt","100 In A 55 - Acoustic","Pop Evil",30,"6H97jkl2rYGeqmXpFEEfWF","Lipstick On The Mirror","2009-01-01","Hard Rock Acoustic Covers","4JP0Dt4nVpH7pPeMs5BirB","rock","hard rock",0.525,0.592,8,-6.972,1,0.0301,0.619,0,0.272,0.502,72.029,212413
"5LK1zfpswTVPO588AAw6bq","Sola (feat. Myke Towers)","Sfera Ebbasta",67,"6mcfFvRK1uZEoCa6P1xuxl","Italiano","2022-05-05","Trap Land","37i9dQZF1DXde9tuMHuIsj","rap","trap",0.726,0.637,0,-8.517,1,0.251,0.127,0,0.103,0.596,77.5,177626
"5LNiqEqpDc8TuqPy79kDBu","Edge of Seventeen - 2016 Remaster","Stevie Nicks",62,"3S404OgKoVQSJ3xXrDVlp8","Bella Donna (Deluxe Edition)","2016-11-04","Rock Classics","37i9dQZF1DWXRqgorJj26U","rock","classic rock",0.591,0.804,0,-7.299,1,0.0454,0.327,0.00000598,0.0818,0.658,111.457,329413
"5LO0sJCkNMZYLYeGOvblLu","In My Darkest Hour - Remastered","Megadeth",59,"5f4vbRLrRmoDH0zpdQnyrE","So Far, So Good...So What! (2004 Remaster)","1988-01-26","Hard Rock /Metal","1GXRoQWlxTNQiMNkOe7RqA","rock","hard rock",0.322,0.978,9,-5.446,1,0.131,0.0000866,0.266,0.136,0.271,112.878,386600
"5LoZkk7TC9xuAdzkMhqiEc","What It's Like (live acoustic)","Everlast",35,"2fAgpi5IXSoaB4fcnCaIXE","More Songs of the Ungrateful Living","2012-08-07","Hard Rock Acoustic Covers","4JP0Dt4nVpH7pPeMs5BirB","rock","hard rock",0.587,0.366,0,-9.921,1,0.0328,0.286,0.0493,0.0999,0.399,169.728,298665
"5lPsuQEj6GwZkAn8MMHaqB","Louis Baggage (feat. Babyface Ray)","Curren$y",52,"6nOgR17Z6SkfRQ0ygRogTU","Continuance","2022-02-18","Alternative Hip-Hop","37i9dQZF1DWTggY0yqBxES","rap","hip hop",0.438,0.563,4,-11.501,0,0.39,0.879,0.0000119,0.669,0.444,81.959,150053
"5lQKRR3MdJLtAwNBiT8Cq0","Lyin' Eyes - 2013 Remaster","Eagles",67,"0F77QekrNe8vVAjU2sepja","One of These Nights (2013 Remaster)","1975","Country Rock Classics","37i9dQZF1DX4bf0P6HTTom","rock","classic rock",0.669,0.673,7,-9.754,1,0.0248,0.203,0.0271,0.164,0.867,132.68,381999
"5lSASgj3h5dWTK7pr4vkBq","Quizas - Remix","Tony Dize",2,"4Yufs8sW6tHUNvkDAVTaYn","Los Vaqueros Wild Wild Mixes","2007-01-01","Reggaeton Classics","37i9dQZF1DX8SfyqmSFDwe","latin","reggaeton",0.787,0.679,9,-4.913,1,0.0658,0.416,0,0.15,0.875,89.988,240200
"5LsUdPeqmKVGlPJre2sIRt","Perreito","Mariah Angeliq",0,"2h75BdwB5z9ueXOV37Af4d","Perreito","2019-06-14","Perreo Workout","37i9dQZF1DX9ZKyQHcEFXZ","latin","reggaeton",0.728,0.611,0,-3.614,1,0.0922,0.183,0.154,0.124,0.526,180.014,121240
"5ltdcgEflWut0osW0ZzLhM","Da Rockwilder","Method Man",0,"55EVUWT6xhtsrqm14VZTSw","Blackout!","1999-09-28","I Love My '90s Hip-Hop","37i9dQZF1DX186v583rmzp","rap","hip hop",0.612,0.659,6,-6.995,0,0.406,0.0137,0,0.417,0.393,99.137,136093
"5LVoGJTyG6fLJgoGkY2QAZ","Ahora Dice","Chris Jedi",1,"7JiRyDVQealzbiLq8b1mOb","Ahora Dice","2017-03-17","Trap Classics","37i9dQZF1DX9ru0ROInnew","rap","trap",0.704,0.69,6,-5.451,1,0.16,0.249,0,0.123,0.402,144.045,271080
"5lXyrcuo6SyG1esQHyLb2g","Blindly","Dukewood",50,"1cdJVscSu6W4DapkwXQSUw","Blindly","2022-06-16","Tropical House Remixes 🍍 Tropical Covers","3YdAwfgQLMS4AN2WjRfRlb","latin","tropical",0.745,0.609,8,-6.272,1,0.111,0.139,0,0.0842,0.534,125.181,175800
"5LZQ5s0kRZS9nBSd1xLK7U","Trndsttr (feat. M. Maggie) - Lucian Remix","Black Coast",49,"5q3vgbTbWJut1Go3qzVgya","Trndsttr (feat. M. Maggie) [Lucian Remix]","2016-02-17","Trap nation top 100","1nuylYX4ssCzNAUaaMFwLj","rap","trap",0.794,0.476,2,-4.337,0,0.0558,0.354,0.00307,0.332,0.471,129.827,179658
"5M11o3yEPeXUsqyJdAx91Z","Por Dejarla Sola","Yan Boss",41,"38g5zlHDBtTviShc8UzWKw","Por Dejarla Sola","2022-04-30","Trap Latino #WW","7K6LBU7nvSGEYAkjo66bA8","rap","trap",0.873,0.576,11,-6.768,0,0.164,0.293,0,0.102,0.667,89.958,124404
"5M3CUcUdDbcf3oYrv0mZGv","Cuarenta Grados","Tropicalísimo Apache",0,"0rKlN9fAqM0pRc3h0P4txO","21 Black Jack (Nueva Edición Remasterizada)","2013-11-25","Tropicalisimo Apache Exitos","1OcPXr9PV3X9nZydhIrbSI","latin","tropical",0.908,0.677,7,-8.216,1,0.0531,0.182,0.00375,0.0958,0.789,111.445,178760
"5m7on0zpnmeAXy72ANrmfU","Bad Girlfriend","Theory of a Deadman",66,"2d4tYx2ulDP1Kgudxsrs7B","Scars & Souvenirs (Special Edition)","2008-04-01","2000s Hard Rock","3nB7yqhqfyEaldi9Tlejl2","rock","hard rock",0.504,0.957,0,-2.657,1,0.0529,0.00298,0,0.187,0.676,135.013,205627
"5M7y0vJBmG5TDmOIBN9run","The High Road","Three Days Grace",55,"1amiX0yqQQ4ZeY6NajMwq4","Transit Of Venus","2012-10-02","2000s Hard Rock","3nB7yqhqfyEaldi9Tlejl2","rock","hard rock",0.442,0.88,1,-4.187,0,0.0761,0.0424,0,0.153,0.4,142.733,193680
"5MDgUvbBUi1nu1yt11mzH6","Goodbye Yellow Brick Road","Elton John",0,"2nvrxS8PAbs7NeADtRy4hb","Goodbye Yellow Brick Road (Newly Remastered)","1973-10-05","Classic Rock Greatest Hits","6TeyryiZ2UEf3CbLXyztFA","rock","classic rock",0.541,0.432,5,-8.076,1,0.0299,0.504,0.000261,0.225,0.415,121.007,193333
