"","rbd","media_mate","median_mate","media_leng","median_leng","porc_fem","nom_rbd","latitud","longitud","cod_com_rbd","nom_com_rbd","pago_matricula"
"291",9581,205.798897330217,202.470001220703,227.761159813922,222.005004882812,100,"LICEO TECNICO A-100 DE SAN MIGUEL",-33.49686276,-70.6527186,13130,"SAN MIGUEL","GRATUITO"
"292",9582,215.797142246791,207.970001220703,197.606176039752,192.175003051758,40.8163265306122,"LICEO POLIVALENTE FRANCISCO FRIAS V.",-33.52431923,-70.63572042,13111,"LA GRANJA","GRATUITO"
"293",9583,179.892588806152,185.529998779297,183.289120684613,179.330001831055,53.3333333333333,"CENTRO EDUCACIONAL MUN.MARIANO LATORRE",-33.57828062,-70.64184013,13112,"LA PINTANA","GRATUITO"
"294",9584,237.620851394978,236.910003662109,242.35264011599,246.149993896484,43.5897435897436,"LICEO COMERCIAL VATE VICENTE HUIDOBRO",-33.53761294,-70.63650029,13131,"SAN RAMÓN","GRATUITO"
"295",9587,197.274999891009,201.629997253418,219.347501373291,204.75,62.8571428571429,"LICEO MALAQUIAS CONCHA",-33.52826022,-70.62156758,13111,"LA GRANJA","GRATUITO"
"296",9599,204.145749092102,197.884994506836,210.457567369616,209.210006713867,54.5454545454545,"LICEO MUNICIPAL PURKUYEN",-33.5372955,-70.63732312,13131,"SAN RAMÓN","GRATUITO"
"297",9601,184.60238084339,172.73999786377,203.211110998083,194.86499786377,50,"CENTRO EDUCACIONAL MUNICIPAL SAN RAMON",-33.54977143,-70.64463024,13131,"SAN RAMÓN","GRATUITO"
"298",9608,202.590952010382,202.150001525879,204.168888346354,192.309997558594,30.8823529411765,"CENTRO EDUCACIONAL MIRADOR",-33.51935004,-70.64109271,13131,"SAN RAMÓN","GRATUITO"
"299",9634,234.072631549118,236.320007324219,219.205499703544,215.279998779297,48.7179487179487,"COLEGIO MARISTA MARCELINO CHAMPAGNAT",-33.58847227,-70.61640243,13112,"LA PINTANA","GRATUITO"
"300",9637,277.219599355062,284.544998168945,237.121200459798,236.529998779297,60.8695652173913,"COLEGIO CHRISTIAN GARDEN SCHOOL",-33.55512284,-70.62818119,13111,"LA GRANJA","GRATUITO"
"301",9643,200.039409861845,205.429992675781,194.871767829446,184.770004272461,51.219512195122,"INSTITUTO COMERCIAL EMA DIAZ SIERRA-DIUR",-33.529668,-70.64210885,13131,"SAN RAMÓN","$1.000 A $10.000"
"302",9646,315.882202019126,321.099990844727,264.961564702573,267.200012207031,47.7941176470588,"COLEGIO POLIVALENTE FRANCISCO RAMIREZ",-33.52546589,-70.63693928,13131,"SAN RAMÓN","GRATUITO"
"303",9647,279.292531460146,284.179992675781,279.850853338474,285.56999206543,58.9473684210526,"LICEO BICENTENARIO SAN FRANCISCO",-33.54411525,-70.63420356,13131,"SAN RAMÓN","GRATUITO"
"304",9655,314.208705228918,314.649993896484,256.130845035415,256.609985351562,47.4747474747475,"ESCUELA PARTICULAR CLAUDIO MATTE",-33.52094645,-70.63317829,13111,"LA GRANJA","GRATUITO"
